id,alias,name,review_count,rating,phone
B3_K2kUVbYOU0VaLcj_LTw,thai-villa-new-york-2,Thai Villa,4914,4.5,+12128029999
FizBsTIAJwNrImIG1mPDcg,barn-joo-new-york-3,Barn Joo,1921,4.0,+16463989663
16ZnHpuaaBt92XWeJHCC5A,olio-e-più-new-york-7,Olio e Più,5152,4.5,+12122436546
hdiuRS9sVZSMReZm4oV5SA,da-andrea-greenwich-village-new-york,Da Andrea - Greenwich Village,2169,4.5,+12123671979
veq1Bl1DW3UWMekZJUsG1Q,gramercy-tavern-new-york,Gramercy Tavern,3433,4.5,+12124770777
-XYp6w50XbZfS90YddS5ew,soothr-new-york-2,Soothr,1214,4.5,+12128449789
jjJc_CrkB2HodEinB6cWww,lovemama-new-york,LoveMama,6614,4.5,+12122545370
J9UA6rzI5WW_cDGjwDnF5g,tsuru-ton-tan-new-york,Tsuru Ton Tan,2337,4.0,+12129891000
8XHbZIKDQbXhyKIGiukVeQ,boucherie-union-square-new-york-2,Boucherie Union Square,1470,4.5,+12123530200
44SY464xDHbvOcjDzRbKkQ,ippudo-ny-new-york-7,Ippudo NY,10693,4.0,+12123880088
nRO136GRieGtxz18uD61DA,eleven-madison-park-new-york,Eleven Madison Park,2475,4.5,+12128890905
An1_BlhLJDZomxI91SBv7g,oiji-mi-new-york-2,Oiji Mi,243,4.5,+12122561259
ETgJqJHV7BW6pIr9Ox74sA,amélie-new-york,Amélie,2925,4.5,+12125332962
k5NAz3-goMXKoUqPfOZ1Hw,the-smith-new-york,The Smith,2193,4.0,+12124209800
fX_E2J6LqK6u77zNa8xyJQ,jua-new-york,JUA,378,4.5,
UA2M9QFZghe-9th2KwLoWQ,burger-and-lobster-flatiron-nyc-new-york,Burger & Lobster - Flatiron NYC,5897,4.0,+16468337532
NAlOPUbFQVE0bUu8_wmBLQ,rezdôra-new-york-4,Rezdôra,696,4.0,
_gzXNKarTxagBp6_PkmQKw,gotham-restaurant-new-york-city,Gotham Restaurant,1692,4.0,+12123808660
9z2lUyfzZV8b2rkkiwSM4g,abc-cocina-new-york,ABC Cocina,1000,4.0,+12124755829
h37t9rA06Sr4EetJjKrfzw,don-angie-new-york,Don Angie,833,4.5,+12128898884
